Stock,Trend,Long Term Trend,Volume,Hundreds,RSI,Passes
GIS,0.1044,0.2933,-0.6397,0,-0.007559520989910418,-0.2496
TR,0.099,0.1558,-0.4632,0,-0.052948470720415974,-0.2613
PTON,-0.9964,-0.8519,0.9195,0,0.6384603956028718,-0.2903
AMC,0.6779,-0.3421,-0.7692,0,0.14125398667098765,-0.2921
ILMN,-0.5856,-0.3963,-0.1228,0,0.8106330163271209,-0.2941
DLR,0.1685,0.0331,-0.1483,0,-0.34962537274073946,-0.2963
LAZ,-0.4323,0.0733,-0.256,0,0.31552241677776305,-0.2995
REGN,0.3201,-0.1353,-0.3976,0,-0.088622355144238,-0.3014
TXRH,0.1435,-0.0934,-0.3944,0,0.0360684293652882,-0.3082
ROLL,-0.3161,0.0973,-0.6062,0,0.5116010095849381,-0.3134
SO,0.0397,-0.1354,-0.0207,0,-0.202267916226742,-0.3187
KDP,0.073,0.0882,-0.4557,0,-0.026555975578652635,-0.3211
CZR,-0.6546,-0.078,-0.1173,0,0.5181925310809228,-0.3317
T,-0.2037,-0.1994,0.0021,0,0.06562672864843022,-0.3354
SNP,-0.1523,0.0344,-0.5971,0,0.3562395697687242,-0.3588
BYD,-0.5233,0.1007,-0.3499,0,0.41151024079328247,-0.361
GMED,-0.6379,-0.3229,-0.1089,0,0.70098333460587,-0.3687
WDFC,0.1443,-0.0489,-0.2609,0,-0.2093969905264077,-0.3749
C,-0.2084,-0.0853,-0.1151,0,0.013488802557801272,-0.3953
DXC,-0.1604,-0.2476,-0.2925,0,0.28824266511789354,-0.4123
X,-0.0585,0.0628,-0.4653,0,0.042372845997805,-0.4186
NVS,-0.1123,-0.1534,-0.2182,0,0.04949262811584876,-0.4344
ZNH,0.1243,0.191,-0.7266,0,-0.057574362376892285,-0.4689
BAX,-0.0887,-0.0765,-0.5455,0,0.23945131835955547,-0.4712
AEP,-0.0805,-0.1207,-0.1511,0,-0.12166048363942661,-0.474
LVS,-0.0302,-0.0744,-0.3856,0,-0.0349579187423128,-0.5252
LMT,0.2264,-0.0901,-0.1694,0,-0.5123471027471485,-0.5454
MTCH,-0.5006,-0.0676,-0.6065,0,0.6105942810410783,-0.5641
HOG,0.0825,-0.0319,-0.4264,0,-0.18832139129210312,-0.5641
DFS,-0.0014,-0.1877,-0.1171,0,-0.293262831730948,-0.5995
AWK,-0.0131,-0.1835,-0.1094,0,-0.29461376951147544,-0.6006
QSR,0.0072,-0.296,-0.2644,0,-0.07107469384064324,-0.6243
CPB,0.1547,-0.1183,-0.6292,0,-0.047380581745010586,-0.6402
YUM,0.0794,-0.0779,-0.5121,0,-0.1579807511604161,-0.6686
NWG,-0.2485,0.0965,-0.6457,0,0.07530414335705027,-0.7224
THS,0.1041,-0.1314,-0.6067,0,-0.17116392989405527,-0.8052
PTR,-0.4682,0.144,-0.7443,0,0.22577110790173305,-0.8427
VEON,-0.6874,-0.2661,-0.443,0,0.4298143182315022,-0.9667
SFIX,-0.51,-0.4901,-0.6451,0,0.6260656159714222,-1.0191
PKX,-0.4934,-0.5976,-0.0749,0,0.12029676503369213,-1.0456
RIO,-0.202,-0.4279,-0.2576,0,-0.23301660464517582,-1.1205
BHP,-0.199,-0.2853,-0.4292,0,-0.2422907210194385,-1.1558
HNP,-0.8485,-0.444,-0.8845,0,0.984607461150981,-1.1924
ACH,-0.6905,-0.8358,-0.5461,0,0.23604564218439572,-1.8364
